pop1	ecotype1	pop2	ecotype2	geography	ecology	intercept	recomb_rate	ds	gene_count	linear_model_warning	n_windows_dxy	n_windows_fst	group	reg1	reg2	geography2	group2
al	marine	cl	marine	allo	S	-4.344	0.106	0.836	0.042	NA	2544	2825	allo_S	ns	ns	para	para_S
al	marine	cl	white	allo	D	-3.9	0.108	0.559	0.001	NA	2927	3114	allo_D	ns	ns	para	para_D
al	marine	cp	marine	para	S	-3.625	0.11	0.254	0.005	NA	3023	3171	para_S	ns	ns	para	para_S
al	marine	ln	marine	allo	S	-3.948	0.109	0.512	0.022	NA	2963	3127	allo_S	ns	ns	para	para_S
al	marine	mh	marine	allo	S	-4.625	0.123	1.032	0.039	NA	2257	2600	allo_S	ns	ns	para	para_S
al	marine	mh	white	allo	D	-4.006	0.086	0.724	0.011	NA	1708	2150	allo_D	ns	ns	para	para_D
al	marine	sk	marine	allo	S	-4.172	0.094	0.795	0.024	NA	2669	2901	allo_S	ns	ns	para	para_S
al	marine	sr	marine	allo	S	-3.977	0.119	0.661	-0.017	NA	2818	3022	allo_S	ns	ns	para	para_S
al	marine	sr	white	allo	D	-3.854	0.098	0.492	0.016	NA	2910	3093	allo_D	ns	ns	para	para_D
bea	lake	al	marine	allo	D	NA	NA	NA	NA	Low data, aborting model fitting	0	137	allo_D	al	ns	allo	allo_D
bea	lake	boot	lake	allo	S	3.975	0.134	-8.536	0.021	NA	106	1473	allo_S	al	bc	allo	allo_S
bea	lake	boot	stream	allo	D	NA	NA	NA	NA	Low data, aborting model fitting	87	1428	allo_D	al	bc	allo	allo_D
bea	lake	cl	marine	allo	D	NA	NA	NA	NA	Low data, aborting model fitting	0	100	allo_D	al	ns	allo	allo_D
bea	lake	cl	white	allo	D	NA	NA	NA	NA	Low data, aborting model fitting	0	140	allo_D	al	ns	allo	allo_D
bea	lake	constance	lake	allo	S	-0.778	-0.065	-1.402	-0.091	NA	121	1551	allo_S	al	sl	allo	allo_S
bea	lake	constance	stream	allo	D	-0.659	-0.274	-0.476	-0.193	NA	124	1566	allo_D	al	sl	allo	allo_D
bea	lake	cp	marine	allo	D	NA	NA	NA	NA	Low data, aborting model fitting	0	247	allo_D	al	ns	allo	allo_D
bea	lake	denmark	marine	allo	D	NA	NA	NA	NA	Low data, aborting model fitting	1	631	allo_D	al	ne	allo	allo_D
bea	lake	geneva	lake	allo	S	0.488	0.074	-3.868	-0.041	NA	120	1450	allo_S	al	sl	allo	allo_S
bea	lake	geneva	stream	allo	D	-1.632	0.021	-0.901	-0.099	NA	134	1448	allo_D	al	sl	allo	allo_D
bea	lake	japan	japansea	allo	D	-1.129	-0.02	-0.163	-0.341	NA	257	2789	allo_D	al	jp	allo	allo_D
bea	lake	japan	marine	allo	D	-2.645	0.078	-0.078	-0.111	NA	247	2042	allo_D	al	jp	allo	allo_D
bea	lake	joes	lake	allo	S	0.883	0.072	-4.256	-0.044	NA	115	1461	allo_S	al	bc	allo	allo_S
bea	lake	joes	stream	allo	D	-0.769	0.03	-2.06	-0.043	NA	106	1446	allo_D	al	bc	allo	allo_D
bea	lake	litcampbell	marine	allo	D	NA	NA	NA	NA	Low data, aborting model fitting	0	44	allo_D	al	bc	allo	allo_D
bea	lake	ln	marine	allo	D	NA	NA	NA	NA	Low data, aborting model fitting	0	167	allo_D	al	ns	allo	allo_D
