pop1	ecotype1	pop2	ecotype2	geography	ecology	intercept	recomb_rate	ds	gene_count	linear_model_warning	n_windows_dxy	n_windows_fst	group	reg1	reg2	geography2	group2
al	marine	cl	marine	allo	S	-2.55937446213814	-39716.4179967957	-0.0263560439811618	-0.0341511153277858	NA	2464	2727	allo_S	ns	ns	para	para_S
al	marine	cl	white	allo	D	-2.16598272470894	-4954.14452307001	-0.507780857764888	-0.0676614026721673	NA	2836	3013	allo_D	ns	ns	para	para_D
al	marine	cp	marine	para	S	-2.83028748085466	-8275.6701217272	-0.191920329371047	0.026360417592151	NA	2929	3070	para_S	ns	ns	para	para_S
al	marine	ln	marine	allo	S	-2.38472701729155	-30903.6012720628	-0.705089742765774	0.0583199672702855	NA	2873	3027	allo_S	ns	ns	para	para_S
al	marine	mh	marine	allo	S	-2.44965033624772	7496.86675050715	-0.402241400776636	-0.0394342947388403	NA	2184	2511	allo_S	ns	ns	para	para_S
al	marine	mh	white	allo	D	-2.01703260195391	-19921.0334119963	-0.445859092264032	-0.0966562176898225	NA	1655	2084	allo_D	ns	ns	para	para_D
al	marine	sk	marine	allo	S	-2.96030313496154	377.51161328593	0.0189459611450793	0.000337583202027528	NA	2587	2805	allo_S	ns	ns	para	para_S
al	marine	sr	marine	allo	S	-2.55122223203106	2057.68081018862	-0.308099200912573	-0.0269154117459761	NA	2733	2923	allo_S	ns	ns	para	para_S
al	marine	sr	white	allo	D	-1.59706758262298	-16325.713068263	-1.03299666830848	-0.0754809731297184	NA	2816	2985	allo_D	ns	ns	para	para_D
bea	lake	al	marine	allo	D	-4.49836137125341	101335.040770807	1.22132302154468	-0.0782700822347471	NA	0	131	allo_D	al	ns	allo	allo_D
bea	lake	boot	lake	allo	S	-2.65631896061885	24816.378016137	-0.529944610473295	0.0123202581038205	NA	100	1422	allo_S	al	bc	allo	allo_S
bea	lake	boot	stream	allo	D	-1.76900471625634	15243.3811351277	-1.61257573989879	0.0423457475626947	NA	83	1380	allo_D	al	bc	allo	allo_D
bea	lake	cl	marine	allo	D	-3.52074427422298	94470.2025048604	0.70874308728131	-0.177040039748467	NA	0	100	allo_D	al	ns	allo	allo_D
bea	lake	cl	white	allo	D	-3.46953156641488	115021.687110796	0.142819330566523	-0.0191810018840968	NA	0	137	allo_D	al	ns	allo	allo_D
bea	lake	constance	lake	allo	S	-2.59439516033176	-18668.5486673489	-0.308548281066038	0.0110518915331425	NA	116	1495	allo_S	al	sl	allo	allo_S
bea	lake	constance	stream	allo	D	-3.15229623018716	-29341.5445033019	0.177816147075035	0.0424169812598876	NA	118	1514	allo_D	al	sl	allo	allo_D
bea	lake	cp	marine	allo	D	-2.97970916740187	19030.0863692846	0.171514931494849	-0.0387214677165708	NA	0	242	allo_D	al	ns	allo	allo_D
bea	lake	denmark	marine	allo	D	-2.39381456159963	-4054.84393797103	-0.509506357963775	-0.0116641204779581	NA	1	617	allo_D	al	ne	allo	allo_D
bea	lake	geneva	lake	allo	S	-2.26451718790459	-385.302170428524	-0.800477731097737	0.0158180816575958	NA	115	1393	allo_S	al	sl	allo	allo_S
bea	lake	geneva	stream	allo	D	-2.02891736897107	-8516.25302547015	-1.01520456391098	0.0176773982316848	NA	129	1391	allo_D	al	sl	allo	allo_D
bea	lake	japan	japansea	allo	D	-1.68551694515584	-3670.43198263965	-0.527820132038757	-0.104776271616416	NA	254	2710	allo_D	al	jp	allo	allo_D
