pop1	ecotype1	pop2	ecotype2	geography	ecology	intercept	recomb_rate	ds	gene_count	linear_model_warning	n_windows_dxy	n_windows_fst	group	reg1	reg2	geography2	group2
al	marine	cl	marine	allo	S	0.00122742212285445	6.30321508990614e-05	0.000454449380113125	-2.37402479497524e-06	NA	2544	2825	allo_S	ns	ns	para	para_S
al	marine	cl	white	allo	D	0.00120488308868391	6.22797280925182e-05	0.000413356436868688	-1.15461338241893e-05	NA	2927	3114	allo_D	ns	ns	para	para_D
al	marine	cp	marine	para	S	0.00120578156850737	6.31956919822673e-05	0.000397113517841235	-6.611596013128e-06	NA	3023	3171	para_S	ns	ns	para	para_S
al	marine	ln	marine	allo	S	0.00127553213806081	6.43346250130158e-05	0.000327871135750704	-9.8393356910548e-06	NA	2963	3127	allo_S	ns	ns	para	para_S
al	marine	mh	marine	allo	S	0.0012062635264964	6.27428965445754e-05	0.000550828121844549	-8.14227302646097e-06	NA	2257	2600	allo_S	ns	ns	para	para_S
al	marine	mh	white	allo	D	0.00116027416829574	4.66981222408845e-05	0.000832873310213194	-2.26467913131434e-05	NA	1708	2150	allo_D	ns	ns	para	para_D
al	marine	sk	marine	allo	S	0.00126890385586463	5.55207578364867e-05	0.000410217593457093	-1.19307392483794e-05	NA	2669	2901	allo_S	ns	ns	para	para_S
al	marine	sr	marine	allo	S	0.00124429782270654	6.7057353195141e-05	0.000389889094701703	-1.17970701420384e-05	NA	2818	3022	allo_S	ns	ns	para	para_S
al	marine	sr	white	allo	D	0.00121690103321948	6.21974974072362e-05	0.000380951595353441	-9.6746549098176e-06	NA	2910	3093	allo_D	ns	ns	para	para_D
bea	lake	al	marine	allo	D	0.00619911464422121	0.000115739487074124	0.00158988562101402	-0.000209307574733053	NA	0	137	allo_D	al	ns	allo	allo_D
bea	lake	boot	lake	allo	S	0.00297709077509309	-7.82838306649476e-06	0.000464800445149262	-6.90106551362463e-05	NA	106	1473	allo_S	al	bc	allo	allo_S
bea	lake	boot	stream	allo	D	0.00275921373070726	-9.06767284304796e-06	0.000718467239436457	-7.87886277961627e-05	NA	87	1428	allo_D	al	bc	allo	allo_D
bea	lake	cl	marine	allo	D	0.00839772716618101	-8.04985832816107e-05	0.00128796106438168	-0.000179741913307955	NA	0	100	allo_D	al	ns	allo	allo_D
bea	lake	cl	white	allo	D	0.00764334733368142	6.52318841688518e-05	0.00128764146916999	-0.000372518254651694	NA	0	140	allo_D	al	ns	allo	allo_D
bea	lake	constance	lake	allo	S	0.00249481228251732	1.91884184683621e-06	0.000325486972837685	-6.82890450487018e-05	NA	121	1551	allo_S	al	sl	allo	allo_S
bea	lake	constance	stream	allo	D	0.00253231257635948	6.95604610764225e-07	0.000342159788178434	-6.61364833627595e-05	NA	124	1566	allo_D	al	sl	allo	allo_D
bea	lake	cp	marine	allo	D	0.00889051898963437	3.43322491619829e-06	-0.000832384837246258	-0.000303404133637427	NA	0	247	allo_D	al	ns	allo	allo_D
bea	lake	denmark	marine	allo	D	0.00309894680930238	0.000154607384755739	0.000889969707034914	-9.03075761508659e-05	NA	1	631	allo_D	al	ne	allo	allo_D
bea	lake	geneva	lake	allo	S	0.00274093770716026	-6.51353735938203e-06	1.76746267548297e-05	-6.05808071257674e-05	NA	120	1450	allo_S	al	sl	allo	allo_S
bea	lake	geneva	stream	allo	D	0.00259934248986701	-4.78343024360256e-06	0.00013311127859472	-6.76361610575543e-05	NA	134	1448	allo_D	al	sl	allo	allo_D
bea	lake	japan	japansea	allo	D	0.00178790489756108	4.40297367820619e-05	0.000234063285153446	6.7220733375851e-06	NA	257	2789	allo_D	al	jp	allo	allo_D
bea	lake	japan	marine	allo	D	0.00282542079562918	5.39730443454382e-05	0.000491476737170594	-5.76532870389571e-05	NA	247	2042	allo_D	al	jp	allo	allo_D
bea	lake	joes	lake	allo	S	0.00314696475703246	-4.4724223462274e-05	0.000175418827266953	-5.71849700560612e-05	NA	115	1461	allo_S	al	bc	allo	allo_S
bea	lake	joes	stream	allo	D	0.00343666905849491	-4.75138920891242e-05	-4.24051050608028e-05	-6.86688825533198e-05	NA	106	1446	allo_D	al	bc	allo	allo_D
bea	lake	litcampbell	marine	allo	D	0.0135586478943324	-0.000185229278589323	-0.00213128735575426	-0.000435560357286378	NA	0	44	allo_D	al	bc	allo	allo_D
bea	lake	ln	marine	allo	D	0.0105690458385245	9.34305975537454e-05	-0.00100176841237352	-0.000523405669591155	NA	0	167	allo_D	al	ns	allo	allo_D
bea	lake	mh	marine	allo	D	0.00643753647494231	-9.38803354257921e-05	0.00247059963747045	0.000103357741959576	NA	0	68	allo_D	al	ns	allo	allo_D
bea	lake	mh	white	allo	D	0.0146930389628002	-0.000101422274870249	-0.00458940532818061	-3.71066576187874e-05	NA	0	49	allo_D	al	ns	allo	allo_D
