"lg" "pos1" "pos2" "ds"
 1 2098 9910 1.67733633333333
 1 18791 22890 1.03644766666667
 1 36880 38991 1.65135566666667
 1 42006 46064 0.917506666666667
 1 69460 74583 1.01180866666667
 1 77722 105198 1.16831066666667
 1 117583 141390 0.877963
 1 150455 155401 0.757381222222222
 1 169269 179484 1.01938866666667
 1 184803 198423 0.914579
 1 199995 206700 0.597399666666667
 1 208356 211604 0.917508333333333
 1 217115 219753 0.937915666666667
 1 229192 236148 1.20937725
 1 244666 253839 1.13005366666667
 1 257080 258329 1.54275133333333
 1 356280 359332 1.38014
 1 363799 365223 1.50106566666667
 1 369110 371418 0.947151333333333
 1 372834 374001 1.6097335
 1 380274 381945 0.81131
 1 382188 383538 1.40671566666667
 1 384897 395887 0.960211333333333
 1 399228 409825 0.878785
 1 427703 435209 1.16804433333333
 1 436490 448294 0.919085666666667
 1 462140 471296 0.921801666666667
 1 474993 481036 1.120484
 1 483523 484997 0.926808
 1 493880 500134 1.45769266666667
 1 500828 510359 0.957322333333333
 1 518206 536065 1.03583083333333
 1 555946 557500 1.67490366666667
 1 559077 566856 1.09472766666667
 1 568151 571571 1.27312533333333
 1 572635 578245 1.2035595
 1 620253 626394 1.20997133333333
 1 696149 703429 1.380375
 1 725635 725859 1.56941
 1 726932 740276 1.027328
 1 746199 747195 1.0051025
 1 749956 783492 1.46964433333333
 1 790618 796261 0.993603333333333
 1 798707 805841 1.28465133333333
 1 807405 813257 2.112866
 1 814526 818691 1.38581066666667
 1 825335 835930 0.897997666666667
 1 845685 851086 1.710809
 1 898273 903775 1.21005533333333
 1 903985 905957 1.086038
 1 906629 913276 1.02297
 1 913769 925638 1.25571733333333
 1 931955 937054 1.12152933333333
 1 959004 989717 1.443863
 1 992281 1011125 1.13720133333333
 1 1053880 1057246 2.306893
 1 1076088 1085084 1.58664066666667
 1 1175505 1181937 1.3655455
 1 1184288 1184688 1.5619535
 1 1185206 1186192 1.93893733333333
 1 1187874 1192146 1.35930566666667
 1 1193449 1230766 1.25113933333333
 1 1234077 1236193 1.59570555555556
 1 1236297 1242154 1.176179
 1 1242776 1245714 1.63992925
 1 1260571 1274267 1.22484066666667
 1 1276013 1277115 1.0421405
 1 1279295 1282121 1.260016
 1 1290624 1310251 1.16446633333333
 1 1315175 1318264 1.07798266666667
 1 1321632 1328761 0.678236333333333
 1 1352913 1364832 1.13371433333333
 1 1369446 1383127 0.963153333333333
 1 1385915 1393786 1.6887375
 1 1394892 1401575 1.33219933333333
 1 1410016 1438823 1.3766455
 1 1508261 1535124 1.47796433333333
 1 1545588 1554821 1.07891266666667
 1 1560251 1568736 0.643714666666667
 1 1594281 1664168 1.49901266666667
 1 1751568 1753282 1.12735033333333
 1 1755126 1762297 1.076788
 1 1762413 1764918 1.207454
 1 1811639 1812559 0.987608333333333
 1 1835798 1849578 0.934082
 1 1855721 1863275 1.12411
 1 1875460 1882519 0.713623333333333
 1 1890918 1895272 0.899987333333333
 1 1899975 1907740 0.708470166666667
 1 1912692 1913706 1.0854905
 1 1919945 1923826 0.819417666666667
 1 1924903 1926389 0.945849
 1 1964741 1970521 1.077268
 1 1988336 1991038 0.597084
 1 2001693 2004602 0.906377
 1 2004856 2007949 0.842201
 1 2013835 2018817 0.840686
 1 2024413 2029617 0.91871
 1 2041834 2047281 1.06740875
 1 2075764 2085083 1.10851733333333
 1 2096706 2098851 1.12477533333333
 1 2110211 2128414 0.516868333333333
 1 2139386 2140819 1.0195495
 1 2149070 2156200 1.02539375
 1 2156320 2161808 0.819824666666667
 1 2161683 2166868 1.1092325
 1 2167369 2171903 0.981755333333333
 1 2172113 2173949 1.03425633333333
 1 2175787 2179611 1.23434166666667
 1 2180844 2181239 1.9848965
 1 2189867 2195389 0.777835444444445
 1 2197855 2203483 1.05579866666667
 1 2206772 2213401 0.894410666666667
 1 2218130 2220146 0.898902
 1 2225187 2236863 0.898780166666667
 1 2237067 2245543 1.102404
 1 2247753 2267649 0.713408666666667
 1 2271244 2274912 0.900784666666667
 1 2277256 2278122 2.10113066666667
 1 2293356 2295366 1.3533155
 1 2301708 2308184 1.605013
