"lg" "pos1" "pos2" "gene.count"
1 1 74999 6
1 75000 149999 2
1 150000 224999 8
1 225000 299999 5
1 3e+05 374999 8
1 375000 449999 8
1 450000 524999 11
1 525000 599999 5
1 6e+05 674999 3
1 675000 749999 6
1 750000 824999 5
1 825000 899999 5
1 9e+05 974999 6
1 975000 1049999 3
1 1050000 1124999 2
1 1125000 1199999 5
1 1200000 1274999 4
1 1275000 1349999 6
1 1350000 1424999 5
1 1425000 1499999 1
1 1500000 1574999 3
1 1575000 1649999 2
1 1725000 1799999 4
1 1800000 1874999 4
1 1875000 1949999 9
1 1950000 2024999 8
1 2025000 2099999 4
1 2100000 2174999 7
1 2175000 2249999 9
1 2250000 2324999 7
1 2325000 2399999 1
1 2625000 2699999 2
1 2700000 2774999 5
1 2775000 2849999 3
1 2850000 2924999 2
1 2925000 2999999 3
1 3e+06 3074999 7
1 3075000 3149999 6
1 3150000 3224999 5
1 3225000 3299999 1
1 3300000 3374999 6
1 3375000 3449999 3
1 3450000 3524999 1
1 3525000 3599999 1
1 3675000 3749999 1
1 3825000 3899999 2
1 3900000 3974999 1
1 3975000 4049999 3
1 4050000 4124999 10
1 4125000 4199999 6
1 4200000 4274999 6
1 4275000 4349999 2
1 4425000 4499999 12
1 4500000 4574999 2
1 4575000 4649999 3
1 4650000 4724999 2
1 4725000 4799999 4
1 4800000 4874999 2
1 5025000 5099999 1
1 5100000 5174999 2
1 5175000 5249999 1
1 5325000 5399999 2
1 5400000 5474999 2
1 5475000 5549999 6
1 5550000 5624999 3
1 5625000 5699999 2
1 5700000 5774999 4
1 5775000 5849999 4
1 5850000 5924999 5
1 5925000 5999999 5
1 6e+06 6074999 2
1 6075000 6149999 1
1 6150000 6224999 4
1 6225000 6299999 11
1 6300000 6374999 3
1 6375000 6449999 2
1 6450000 6524999 2
1 6525000 6599999 1
1 6600000 6674999 1
1 6675000 6749999 3
1 6750000 6824999 4
1 6825000 6899999 3
1 6900000 6974999 3
1 6975000 7049999 7
1 7050000 7124999 5
1 7200000 7274999 1
1 7350000 7424999 1
1 7425000 7499999 4
1 7500000 7574999 9
1 7575000 7649999 7
1 7650000 7724999 4
1 7725000 7799999 4
1 7800000 7874999 3
1 7875000 7949999 3
1 7950000 8024999 9
1 8025000 8099999 4
1 8100000 8174999 1
1 8325000 8399999 5
1 8400000 8474999 2
1 8475000 8549999 2
1 8550000 8624999 5
1 8625000 8699999 4
1 8700000 8774999 1
1 8775000 8849999 1
1 8850000 8924999 2
1 8925000 8999999 5
1 9e+06 9074999 2
1 9075000 9149999 6
1 9150000 9224999 3
1 9225000 9299999 2
1 9300000 9374999 4
1 9375000 9449999 3
1 9450000 9524999 4
1 9525000 9599999 11
1 9600000 9674999 1
1 9675000 9749999 5
1 9750000 9824999 7
1 9825000 9899999 5
1 9900000 9974999 5
1 9975000 10049999 6
1 10050000 10124999 6
1 10125000 10199999 3
1 10275000 10349999 5
1 10350000 10424999 3
1 10425000 10499999 2
1 10500000 10574999 4
1 10575000 10649999 5
1 10650000 10724999 3
