pop1 ecotype1 pop2 ecotype2 region1 region2 geography group intercept recomb_rate ds gene_count
al marine cl marine ns ns para para_S 0.00122742212285445 6.30321508990614e-05 4.54449380113125e-04 -2.37402479497524e-06
al marine cl white ns ns para para_D 0.00120488308868391 6.22797280925182e-05 4.13356436868688e-04 -1.15461338241893e-05
al marine cp marine ns ns para para_S 0.00120578156850737 6.31956919822673e-05 3.97113517841235e-04 -6.611596013128e-06
al marine ln marine ns ns para para_S 0.00127553213806081 6.43346250130158e-05 3.27871135750704e-04 -9.8393356910548e-06
al marine mh marine ns ns para para_S 0.0012062635264964 6.27428965445754e-05 5.50828121844549e-04 -8.14227302646097e-06
al marine mh white ns ns para para_D 0.00116027416829574 4.66981222408845e-05 8.32873310213194e-04 -2.26467913131434e-05
al marine sk marine ns ns para para_S 0.00126890385586463 5.55207578364867e-05 4.10217593457093e-04 -1.19307392483794e-05
al marine sr marine ns ns para para_S 0.00124429782270654 6.7057353195141e-05 3.89889094701703e-04 -1.17970701420384e-05
al marine sr white ns ns para para_D 0.00121690103321948 6.21974974072362e-05 3.80951595353441e-04 -9.6746549098176e-06
bea lake al marine al ns allo allo_D 0.00619911464422121 1.15739487074124e-04 0.00158988562101402 -2.09307574733053e-04
bea lake boot lake al bc allo allo_S 0.00297709077509309 -7.82838306649476e-06 4.64800445149262e-04 -6.90106551362463e-05
bea lake boot stream al bc allo allo_D 0.00275921373070726 -9.06767284304796e-06 7.18467239436457e-04 -7.87886277961627e-05
bea lake cl marine al ns allo allo_D 0.00839772716618101 -8.04985832816107e-05 0.00128796106438168 -1.79741913307955e-04
bea lake cl white al ns allo allo_D 0.00764334733368142 6.52318841688518e-05 0.00128764146916999 -3.72518254651694e-04
bea lake constance lake al sl allo allo_S 0.00249481228251732 1.91884184683621e-06 3.25486972837685e-04 -6.82890450487018e-05
bea lake constance stream al sl allo allo_D 0.00253231257635948 6.95604610764225e-07 3.42159788178434e-04 -6.61364833627595e-05
bea lake cp marine al ns allo allo_D 0.00889051898963437 3.43322491619829e-06 -8.32384837246258e-04 -3.03404133637427e-04
bea lake denmark marine al ne allo allo_D 0.00309894680930238 1.54607384755739e-04 8.89969707034914e-04 -9.03075761508659e-05
bea lake geneva lake al sl allo allo_S 0.00274093770716026 -6.51353735938203e-06 1.76746267548297e-05 -6.05808071257674e-05
bea lake geneva stream al sl allo allo_D 0.00259934248986701 -4.78343024360256e-06 1.3311127859472e-04 -6.76361610575543e-05
bea lake japan japansea al jp allo allo_D 0.00178790489756108 4.40297367820619e-05 2.34063285153446e-04 6.7220733375851e-06
bea lake japan marine al jp allo allo_D 0.00282542079562918 5.39730443454382e-05 4.91476737170594e-04 -5.76532870389571e-05
bea lake joes lake al bc allo allo_S 0.00314696475703246 -4.4724223462274e-05 1.75418827266953e-04 -5.71849700560612e-05
bea lake joes stream al bc allo allo_D 0.00343666905849491 -4.75138920891242e-05 -4.24051050608028e-05 -6.86688825533198e-05
bea lake litcampbell marine al bc allo allo_D 0.0135586478943324 -1.85229278589323e-04 -0.00213128735575426 -4.35560357286378e-04
bea lake ln marine al ns allo allo_D 0.0105690458385245 9.34305975537454e-05 -0.00100176841237352 -5.23405669591155e-04
bea lake mh marine al ns allo allo_D 0.00643753647494231 -9.38803354257921e-05 0.00247059963747045 1.03357741959576e-04
bea lake mh white al ns allo allo_D 0.0146930389628002 -1.01422274870249e-04 -0.00458940532818061 -3.71066576187874e-05
bea lake misty lake al bc allo allo_S 0.00353755041747835 -1.21996007118223e-05 1.22671970165872e-04 -7.43635629671407e-05
bea lake misty stream al bc allo allo_D 0.00347506476644915 -9.31007148518404e-06 1.86335012034401e-04 -7.54054458968187e-05
bea lake mud lake al al para para_S 0.00371908227351721 7.29384712650269e-06 -8.90856957393346e-05 -5.72086013973459e-05
bea lake rab marine al al para para_D 0.00456982593258502 -5.20455889621482e-07 -2.7977083277648e-04 -8.90603672471645e-05
bea lake res marine al al para para_D 0.00345560521027852 2.04142965749292e-05 -2.4401452634891e-05 -4.17674794890187e-05
bea lake roberts lake al bc allo allo_S 0.00369799573406095 3.51972720500958e-06 6.87281408525951e-05 -6.57325541415874e-05
bea lake roberts stream al bc allo allo_D 0.00371970159927299 -7.45052829492937e-06 -1.95296699552863e-05 -7.58219090786247e-05
bea lake sk marine al ns allo allo_D 0.00691435029470473 1.01739584074345e-04 0.00113896591335912 -1.30868893844574e-04
bea lake sr marine al ns allo allo_D 0.00735523790420612 7.9952427740185e-05 0.0010579898920069 -2.98694969050925e-04
bea lake sr white al ns allo allo_D 0.00966271940440719 1.53388753220381e-05 7.61278366536348e-05 -4.9328138221887e-04
boot lake al marine bc ns allo allo_D 0.00664445562714761 -3.88436260961639e-05 -0.00105990636334745 -8.41368085059054e-05
boot lake boot stream bc bc para para_D 0.00231546316123297 -3.76612955977124e-06 5.13685513971374e-04 -6.78338069786217e-05
boot lake cl marine bc ns allo allo_D 0.0055454110007891 4.62116267717336e-05 -3.1627670819209e-04 1.16844793179738e-04
boot lake cl white bc ns allo allo_D 0.00566988890551031 1.5104353718759e-05 -1.16074583024943e-04 -5.05514689044235e-05
boot lake constance lake bc sl allo allo_S 0.00183119765722027 -5.22596488102574e-06 1.00040261000508e-04 -2.83606318775802e-05
boot lake constance stream bc sl allo allo_D 0.00186861446218962 -4.21778317719324e-06 1.63012121250658e-04 -3.76477186316004e-05
boot lake cp marine bc ns allo allo_D 0.00577110713912153 7.16405223273546e-07 -8.86444952745719e-04 -9.63224840496663e-05
boot lake geneva lake bc sl allo allo_S 0.00196653973235007 -1.41953675126231e-05 5.492891175752e-05 -4.90526224148162e-05
boot lake geneva stream bc sl allo allo_D 0.00189375887853953 -1.39017777036422e-05 8.90702738529666e-05 -4.7251393224441e-05
boot lake joes lake bc bc para para_S 0.00207815087317398 -2.21548412613819e-05 2.52075117167846e-04 -4.1977206022146e-05
boot lake joes stream bc bc para para_D 0.00228125049399895 -2.64025455624283e-05 9.33118774844722e-05 -4.55328707771223e-05
boot lake ln marine bc ns allo allo_D 0.00608770786098162 -9.35608031588595e-06 -9.13907238862206e-04 -7.02221526184483e-05
boot lake mh marine bc ns allo allo_D 0.00488288615742449 8.57369510031392e-05 6.80570203422091e-04 8.83294579281628e-05
boot lake mh white bc ns allo allo_D 0.00584377964602854 -2.4160432264372e-04 7.38241282039536e-04 2.75012215695322e-04
boot lake misty lake bc bc para para_S 0.00225612687743644 4.75213141959651e-06 3.84482286624904e-04 -4.75121974956293e-05
boot lake misty stream bc bc para para_D 0.00221216973246557 8.02757384363356e-06 4.73656764636408e-04 -4.98334613455453e-05
boot lake roberts lake bc bc para para_S 0.00253667631056562 -1.39500013742287e-05 3.37325774585835e-04 -4.80537804943566e-05
boot lake roberts stream bc bc para para_D 0.00250565823541115 -1.65461763166096e-05 2.3412121517644e-04 -5.34969338752992e-05
boot lake sk marine bc ns allo allo_D 0.00609553602553812 -2.65693984973657e-05 -5.14027216511014e-04 -8.65887765000083e-06
boot lake sr marine bc ns allo allo_D 0.00581716097172485 -1.02891929982778e-05 -2.03944339477651e-04 -9.57780855184049e-05
boot lake sr white bc ns allo allo_D 0.00663085588097927 -7.00006585129127e-05 -9.37129106251526e-04 -1.12689304011418e-04
boot stream al marine bc ns allo allo_D 0.00319904059739921 3.11176041427879e-05 0.00110887887600653 1.02483957650516e-04
boot stream cl marine bc ns allo allo_D 0.00209594752880054 3.13794813695942e-05 0.00249697436268009 2.61515890449964e-04
boot stream cl white bc ns allo allo_D 0.00240063049109627 -8.55176601184099e-06 0.00216936074921707 1.67862022194396e-04
boot stream constance lake bc sl allo allo_D 0.00161021859565973 -1.14934952858566e-06 2.58543997013793e-04 -3.61509313577589e-05
boot stream constance stream bc sl allo allo_S 0.00167229606811969 -3.20238226861522e-08 3.0649166865629e-04 -4.64986390035573e-05
boot stream cp marine bc ns allo allo_D 0.00384038134690352 1.93637043116827e-06 2.8516466702426e-04 2.74638612959082e-05
boot stream geneva lake bc sl allo allo_D 0.00167882038604604 -8.43776567042993e-06 2.36199431841016e-04 -4.71793576878646e-05
boot stream geneva stream bc sl allo allo_S 0.00158423764416818 -5.89320031075174e-06 2.60705287695273e-04 -3.94045712768686e-05
boot stream joes lake bc bc para para_D 0.00213313617205444 -2.79956791162336e-05 2.14600317714689e-04 -5.14944900002527e-05
boot stream joes stream bc bc para para_S 0.00221804659393376 -2.92190967249559e-05 1.38632228426255e-04 -5.05200414928344e-05
boot stream ln marine bc ns allo allo_D 0.00297852529176323 8.24940360054617e-05 0.00115013689383056 1.01896060068335e-04
boot stream mh marine bc ns allo allo_D 0.00194952066765004 2.85797798739168e-05 0.00237227458312718 3.53711754204027e-04
boot stream mh white bc ns allo allo_D 0.00364736016323907 -1.12858074127349e-04 5.50037911651554e-04 6.98935867092492e-04
boot stream misty lake bc bc para para_D 0.00214137525435754 -1.61215282465583e-06 5.34808977930536e-04 -6.16172404308873e-05
boot stream misty stream bc bc para para_S 0.00222558623870479 2.45007783942743e-06 5.0788777845525e-04 -7.24953776532185e-05
boot stream roberts lake bc bc para para_D 0.00230419495436119 -1.68620729833146e-05 5.03020255669902e-04 -5.21403352456733e-05
boot stream roberts stream bc bc para para_S 0.00231743602505075 -1.27442888497763e-05 4.16934987816677e-04 -6.63792038506932e-05
boot stream sk marine bc ns allo allo_D 0.00227733761577799 4.83264303922641e-05 0.00197107679579086 2.20895848088495e-04
boot stream sr marine bc ns allo allo_D 0.00223028445470962 -2.83889618589092e-05 0.0023148953979891 1.74292666577715e-04
boot stream sr white bc ns allo allo_D 0.00318090361905277 -1.84718258190948e-05 0.00144591193919486 4.74469251676663e-05
cl marine cl white ns ns para para_D 0.00123431879264144 6.48873095084919e-05 4.28458836336621e-04 -4.00756733022928e-06
cl marine cp marine ns ns para para_S 0.00128739339580913 6.57841072532797e-05 4.0978726954279e-04 -3.81589010802883e-06
cl marine ln marine ns ns para para_S 0.00130589140344842 6.77965237422392e-05 3.56842121015861e-04 -2.04282671142089e-06
cl marine mh marine ns ns para para_S 0.00118075668370755 6.32916501592673e-05 5.23270340485783e-04 1.55093706145246e-06
cl marine mh white ns ns para para_D 0.00119218140667106 5.30393533283706e-05 7.30135234107283e-04 -1.64225579893553e-05
cl marine sk marine ns ns para para_S 0.00126463024798564 6.33087224789902e-05 4.12310795180824e-04 -4.9653595749667e-06
cl marine sr marine ns ns para para_S 0.00126158230865838 6.80455635257441e-05 4.12477936671539e-04 -2.21683872922375e-06
cl marine sr white ns ns para para_D 0.00126404799950764 6.7014646225789e-05 3.7640093663576e-04 -1.20169515303409e-06
cl white cp marine ns ns para para_D 0.00124343958687595 6.58027013622193e-05 4.01366051461761e-04 -1.52785305305691e-05
cl white ln marine ns ns para para_D 0.00126104834252816 6.77227829911969e-05 3.24997992544026e-04 -1.09918526552768e-05
cl white mh marine ns ns para para_D 0.00122219968850614 6.75247484654098e-05 5.06071063713702e-04 -6.24350890651101e-06
cl white mh white ns ns para para_S 0.00121503791947721 5.02616505642977e-05 7.6279217637598e-04 -2.36103221017757e-05
cl white sk marine ns ns para para_D 0.00128304826194372 5.93476996598372e-05 3.67393179447999e-04 -1.28285557971005e-05
cl white sr marine ns ns para para_D 0.00121104189718776 6.50865073304053e-05 4.28000032077232e-04 -1.4047667137452e-05
cl white sr white ns ns para para_S 0.00122967618987248 6.28727456724208e-05 3.782666977057e-04 -8.68545448120358e-06
constance lake al marine sl ns allo allo_D 0.00480850144558508 -1.92727823431906e-04 6.62180371205117e-04 2.19346670234371e-04
constance lake cl marine sl ns allo allo_D 0.00373689413628346 -2.57541470440373e-06 0.00118703034819623 2.16606825289359e-04
constance lake cl white sl ns allo allo_D 0.00538860890090154 -1.43406211308787e-04 1.83779092590021e-04 1.90336426742107e-04
constance lake constance stream sl sl para para_D 0.00200092271846247 -3.94510201525806e-05 6.452451012912e-04 -4.64638420081147e-05
