pop1 ecotype1 pop2 ecotype2 region1 region2 geography group intercept recomb_rate ds gene_count
al marine cl marine ns ns para para_S -2.705 -0.046 0.031 -0.03
al marine cl white ns ns para para_D -1.881 -0.135 -0.438 -0.08
al marine cp marine ns ns para para_S -2.958 -0.035 0.016 0.024
al marine ln marine ns ns para para_S -2.431 -0.074 -0.561 0.045
al marine mh marine ns ns para para_S -2.196 -0.046 -0.442 -0.049
al marine mh white ns ns para para_D -2.148 -0.08 -0.197 -0.094
al marine sk marine ns ns para para_S -2.886 -0.056 0.116 0
al marine sr marine ns ns para para_S -2.425 -0.061 -0.239 -0.029
al marine sr white ns ns para para_D -1.625 -0.146 -0.749 -0.069
bea lake al marine al ns allo allo_D -2.837 -0.153 0.796 -0.061
bea lake boot lake al bc allo allo_S -2.43 -0.034 -0.449 4e-03
bea lake boot stream al bc allo allo_D -2.056 -0.041 -1.055 0.045
bea lake cl marine al ns allo allo_D -1.482 -0.177 -0.104 -0.214
bea lake cl white al ns allo allo_D -1.151 -0.308 -0.868 0.034
bea lake constance lake al sl allo allo_S -2.801 -0.047 0.114 -0.02
bea lake constance stream al sl allo allo_D -3.386 -0.017 0.446 0.017
bea lake cp marine al ns allo allo_D -1.962 -0.073 -0.761 5e-03
bea lake denmark marine al ne allo allo_D -1.841 -0.12 -0.553 -0.065
bea lake geneva lake al sl allo allo_S -2.408 0.014 -0.655 7e-03
bea lake geneva stream al sl allo allo_D -2.291 -2e-03 -0.722 7e-03
bea lake japan japansea al jp allo allo_D -1.534 -0.102 -0.458 -0.103
bea lake japan marine al jp allo allo_D -2.147 -0.26 -0.254 6e-03
bea lake joes lake al bc allo allo_S -2.671 0.027 -0.481 0.02
bea lake joes stream al bc allo allo_D -3.32 0.035 0.343 -0.015
bea lake litcampbell marine al bc allo allo_D 4.983 -0.27 -7.661 0.059
bea lake ln marine al ns allo allo_D -3.558 -0.224 1.104 0.06
bea lake mh marine al ns allo allo_D -1.855 -0.17 0.797 -0.238
bea lake mh white al ns allo allo_D -6.28 -0.076 4.093 -6e-03
bea lake misty lake al bc allo allo_S -2.152 -0.097 -0.46 -0.018
bea lake misty stream al bc allo allo_D -2.582 -0.047 -0.294 0.016
bea lake mud lake al al para para_S -2.795 -0.13 0.111 0.026
bea lake rab marine al al para para_D -1.651 -0.327 -0.684 0.017
bea lake res marine al al para para_D -1.659 -0.385 -0.403 -0.028
bea lake roberts lake al bc allo allo_S -3.045 -0.026 0.289 -0.019
bea lake roberts stream al bc allo allo_D -2.968 -8e-03 -0.134 0.038
bea lake sk marine al ns allo allo_D -2.15 -0.241 0.559 -0.142
bea lake sr marine al ns allo allo_D -1.181 -0.253 -0.614 -0.085
bea lake sr white al ns allo allo_D -3.311 -0.134 1.02 -0.04
boot lake al marine bc ns allo allo_D -4.162 -0.016 2.292 -0.149
boot lake boot stream bc bc para para_D -0.262 -0.441 -1.679 -0.09
boot lake cl marine bc ns allo allo_D -3.862 0.025 1.518 -0.084
boot lake cl white bc ns allo allo_D -4.187 -0.036 1.601 -0.021
boot lake constance lake bc sl allo allo_S -2.768 -0.059 0.147 -0.028
boot lake constance stream bc sl allo allo_D -3.144 -0.08 0.535 -0.015
boot lake cp marine bc ns allo allo_D -3.279 -0.106 1.234 -0.095
boot lake geneva lake bc sl allo allo_S -2.833 -0.032 -0.165 0.032
boot lake geneva stream bc sl allo allo_D -2.542 -0.053 -0.532 0.054
boot lake joes lake bc bc para para_S -2.041 -0.076 -0.812 0.012
boot lake joes stream bc bc para para_D -1.849 9e-03 -0.949 -0.057
boot lake ln marine bc ns allo allo_D -4.077 -0.046 1.928 -0.087
boot lake mh marine bc ns allo allo_D -4.802 0.024 2.666 -0.211
boot lake mh white bc ns allo allo_D -3.975 0.06 1.936 -0.155
boot lake misty lake bc bc para para_S -1.245 -0.218 -1.202 -0.021
boot lake misty stream bc bc para para_D -1.394 -0.178 -1.001 -0.045
boot lake roberts lake bc bc para para_S -2.305 -0.102 -0.444 0.011
boot lake roberts stream bc bc para para_D -1.687 -0.118 -1.005 -7e-03
boot lake sk marine bc ns allo allo_D -2.98 -0.131 1.538 -0.193
boot lake sr marine bc ns allo allo_D -2.683 -0.157 1.19 -0.165
boot lake sr white bc ns allo allo_D -2.974 0.019 0.331 -0.018
boot stream al marine bc ns allo allo_D -1.424 -0.082 -0.137 -0.188
boot stream cl marine bc ns allo allo_D -1.291 0.059 -0.962 -0.097
boot stream cl white bc ns allo allo_D -2.232 -0.017 -0.379 0.031
boot stream constance lake bc sl allo allo_D -1.572 -0.2 -0.893 -0.015
boot stream constance stream bc sl allo allo_S -2.276 -0.104 -0.555 0.028
boot stream cp marine bc ns allo allo_D -0.523 -0.2 -1.426 -0.098
boot stream geneva lake bc sl allo allo_D -2.002 -0.111 -1.144 0.084
boot stream geneva stream bc sl allo allo_S -1.812 -0.122 -1.252 0.07
boot stream joes lake bc bc para para_D -2.509 -0.094 -0.252 0.012
boot stream joes stream bc bc para para_S -2.907 -0.013 0 3e-03
boot stream ln marine bc ns allo allo_D -0.167 -0.202 -1.62 -0.139
boot stream mh marine bc ns allo allo_D -0.99 5e-03 -1.517 -0.084
boot stream mh white bc ns allo allo_D -1.139 0.041 -0.649 -0.24
boot stream misty lake bc bc para para_D -1.947 -0.195 -0.439 -0.025
boot stream misty stream bc bc para para_S -1.39 -0.174 -1.005 -0.046
boot stream roberts lake bc bc para para_D -2.345 -0.098 -0.508 0.03
boot stream roberts stream bc bc para para_S -2.362 -0.153 -0.107 -0.023
boot stream sk marine bc ns allo allo_D -0.568 -0.074 -1.075 -0.176
boot stream sr marine bc ns allo allo_D -1.144 -0.081 -0.373 -0.17
boot stream sr white bc ns allo allo_D -2.089 -0.06 -0.243 -0.015
cl marine cl white ns ns para para_D -1.653 -0.074 -1.012 -0.04
cl marine cp marine ns ns para para_S -2.46 -5e-03 -0.373 -0.029
cl marine ln marine ns ns para para_S -3.071 -0.068 0.328 4e-03
cl marine mh marine ns ns para para_S -2.086 -0.024 -0.822 -6e-03
cl marine mh white ns ns para para_D -2.449 -0.068 0.054 -0.084
cl marine sk marine ns ns para para_S -3.428 -7e-03 0.399 0.03
cl marine sr marine ns ns para para_S -2.044 -0.01 -0.735 -0.047
cl marine sr white ns ns para para_D -1.774 -0.116 -0.581 -0.081
cl white cp marine ns ns para para_D -2.06 -0.074 -0.628 -0.026
cl white ln marine ns ns para para_D -2.247 -0.043 -0.595 -7e-03
cl white mh marine ns ns para para_D -2.54 -0.063 -0.075 -0.035
cl white mh white ns ns para para_S -2.694 -0.065 -0.072 3e-03
cl white sk marine ns ns para para_D -2.913 -0.063 0.28 -0.027
cl white sr marine ns ns para para_D -1.962 -0.085 -0.498 -0.072
cl white sr white ns ns para para_S -2.969 -0.052 0.192 -2e-03
constance lake al marine sl ns allo allo_D -4.351 -0.09 2.86 -0.229
constance lake cl marine sl ns allo allo_D -4.156 -9e-03 2.321 -0.171
constance lake cl white sl ns allo allo_D -3.487 -0.039 1.631 -0.183
constance lake constance stream sl sl para para_D -2.49 0.04 -0.433 -0.044
constance lake cp marine sl ns allo allo_D -1.959 -0.244 0.348 -0.156
constance lake geneva lake sl sl para para_S -4.048 0.068 0.745 0.025
constance lake geneva stream sl sl para para_D -3.979 0.077 0.35 0.078
constance lake joes lake sl bc allo allo_S -2.107 -0.082 -0.47 -0.04
constance lake joes stream sl bc allo allo_D -2.533 -0.037 -0.037 -0.058
constance lake ln marine sl ns allo allo_D -3.489 -0.089 1.242 -0.066
constance lake mh marine sl ns allo allo_D -6.391 -1.159 6.06 -0.245
constance lake mh white sl ns allo allo_D -2.945 -0.055 1.405 -0.19
constance lake misty lake sl bc allo allo_S -1.879 -0.395 -0.15 -0.041
constance lake misty stream sl bc allo allo_D -1.435 -0.34 -0.649 -0.053
constance lake roberts lake sl bc allo allo_S -2.176 -0.156 -0.245 -0.035
constance lake roberts stream sl bc allo allo_D -2.318 -0.12 -0.23 -0.023
constance lake sk marine sl ns allo allo_D -4.541 -0.233 3.454 -0.265
constance lake sr marine sl ns allo allo_D -3.734 -0.087 2.129 -0.196
constance lake sr white sl ns allo allo_D -3.929 -0.035 1.424 -0.059
constance stream al marine sl ns allo allo_D -3.901 -0.082 2.309 -0.219
constance stream cl marine sl ns allo allo_D -4.103 -0.022 2.127 -0.143
constance stream cl white sl ns allo allo_D -3.446 -0.056 1.519 -0.157
constance stream cp marine sl ns allo allo_D -1.838 -0.238 0.071 -0.124
constance stream geneva lake sl sl para para_D -3.435 0.071 -0.019 0.049
