pop1 ecotype1 pop2 ecotype2 region1 region2 geography group intercept recomb_rate ds gene_count
al marine cl marine ns ns para para_S -4.344 0.106 0.836 0.042
al marine cl white ns ns para para_D -3.9 0.108 0.559 1e-03
al marine cp marine ns ns para para_S -3.625 0.11 0.254 5e-03
al marine ln marine ns ns para para_S -3.948 0.109 0.512 0.022
al marine mh marine ns ns para para_S -4.625 0.123 1.032 0.039
al marine mh white ns ns para para_D -4.006 0.086 0.724 0.011
al marine sk marine ns ns para para_S -4.172 0.094 0.795 0.024
al marine sr marine ns ns para para_S -3.977 0.119 0.661 -0.017
al marine sr white ns ns para para_D -3.854 0.098 0.492 0.016
bea lake al marine al ns allo allo_D NA NA NA NA
bea lake boot lake al bc allo allo_S 3.975 0.134 -8.536 0.021
bea lake boot stream al bc allo allo_D NA NA NA NA
bea lake cl marine al ns allo allo_D NA NA NA NA
bea lake cl white al ns allo allo_D NA NA NA NA
bea lake constance lake al sl allo allo_S -0.778 -0.065 -1.402 -0.091
bea lake constance stream al sl allo allo_D -0.659 -0.274 -0.476 -0.193
bea lake cp marine al ns allo allo_D NA NA NA NA
bea lake denmark marine al ne allo allo_D NA NA NA NA
bea lake geneva lake al sl allo allo_S 0.488 0.074 -3.868 -0.041
bea lake geneva stream al sl allo allo_D -1.632 0.021 -0.901 -0.099
bea lake japan japansea al jp allo allo_D -1.129 -0.02 -0.163 -0.341
bea lake japan marine al jp allo allo_D -2.645 0.078 -0.078 -0.111
bea lake joes lake al bc allo allo_S 0.883 0.072 -4.256 -0.044
bea lake joes stream al bc allo allo_D -0.769 0.03 -2.06 -0.043
bea lake litcampbell marine al bc allo allo_D NA NA NA NA
bea lake ln marine al ns allo allo_D NA NA NA NA
bea lake mh marine al ns allo allo_D NA NA NA NA
bea lake mh white al ns allo allo_D NA NA NA NA
bea lake misty lake al bc allo allo_S 4.476 0.138 -10.809 0.214
bea lake misty stream al bc allo allo_D 1.777 0.126 -6.073 0.012
bea lake mud lake al al para para_S -3.505 0.078 -0.324 0.097
bea lake rab marine al al para para_D NA NA NA NA
bea lake res marine al al para para_D -4.239 4e-03 1.572 -0.064
bea lake roberts lake al bc allo allo_S 2.984 0.113 -6.304 -0.147
bea lake roberts stream al bc allo allo_D 4.527 0.051 -8.183 -0.128
bea lake sk marine al ns allo allo_D NA NA NA NA
bea lake sr marine al ns allo allo_D NA NA NA NA
bea lake sr white al ns allo allo_D NA NA NA NA
boot lake al marine bc ns allo allo_D NA NA NA NA
boot lake boot stream bc bc para para_D -4.008 -0.129 0.818 0.118
boot lake cl marine bc ns allo allo_D NA NA NA NA
boot lake cl white bc ns allo allo_D NA NA NA NA
boot lake constance lake bc sl allo allo_S -3.634 -0.045 0.459 0.077
boot lake constance stream bc sl allo allo_D -3.173 -0.017 0.013 0.054
boot lake cp marine bc ns allo allo_D NA NA NA NA
boot lake geneva lake bc sl allo allo_S -3.915 0.038 0.704 0.029
boot lake geneva stream bc sl allo allo_D -3.981 0.022 0.663 0.06
boot lake joes lake bc bc para para_S -2.53 -0.069 -0.899 0.118
boot lake joes stream bc bc para para_D -2.582 -0.092 -1.136 0.171
boot lake ln marine bc ns allo allo_D NA NA NA NA
boot lake mh marine bc ns allo allo_D NA NA NA NA
boot lake mh white bc ns allo allo_D NA NA NA NA
boot lake misty lake bc bc para para_S -2.715 -7e-03 -1.091 0.149
boot lake misty stream bc bc para para_D -2.796 -0.023 -0.695 0.112
