pop1 ecotype1 pop2 ecotype2 geography ecology least.cost.distance euc.distance dist.to.coast1 dist.to.coast2
al marine cl marine allo S 339.046450366685 198 19.5545455227529 1.3313493302831
al marine cl white allo D 339.046450366685 198 19.5545455227529 1.3313493302831
al marine cp marine para S NA 9 19.5545455227529 10.799793169396
al marine ln marine allo S 64.127005447629 86 19.5545455227529 43.5627804024789
al marine mh marine allo S 74.8428676778325 33 19.5545455227529 23.2791620087163
al marine mh white allo D 74.8428676778325 33 19.5545455227529 23.2791620087163
al marine sk marine allo S 56.4049445565374 75 19.5545455227529 35.9627143348956
al marine sr marine allo S 74.8428676778325 49 19.5545455227529 12.6560282118309
al marine sr white allo D 74.8428676778325 49 19.5545455227529 12.6560282118309
bea lake al marine allo D 10121.2019647891 5570 15.1764679280707 19.5545455227529
bea lake boot lake allo S 2668.23952226974 1977 15.1764679280707 7.46028713650605
bea lake boot stream allo D 2668.23952226974 1977 15.1764679280707 8.65079081347112
bea lake cl marine allo D 10429.5030909814 5575 15.1764679280707 1.3313493302831
bea lake cl white allo D 10429.5030909814 5575 15.1764679280707 1.3313493302831
bea lake constance lake allo S 18486.1600300158 7758 14.5206731368352 309.669173746895
bea lake constance stream allo D 18486.1600300158 7757 14.5206731368352 312.874383317611
bea lake cp marine allo D 10121.2019647891 5572 15.1764679280707 10.799793169396
bea lake denmark marine allo D 12339.9225345303 6758 14.5206731368352 6.47121154776159
bea lake geneva lake allo S 16589.9491949201 7827 14.5206731368352 276.805569090188
bea lake geneva stream allo D 16589.9491949201 7842 14.5206731368352 257.985717905614
bea lake japan japansea allo D 7160.87647240314 4649 15.1764679280707 5.72190050170233
bea lake japan marine allo D 7160.87647240314 4649 15.1764679280707 5.72190050170233
bea lake joes lake allo S 1986.1809201467 1858 15.1764679280707 32.9738197627999
bea lake joes stream allo D 1986.1809201467 1857 15.1764679280707 34.6727935777415
bea lake litcampbell marine allo D 2490.15815926027 2182 15.1764679280707 3.72077939069441
bea lake ln marine allo D 10057.155945617 5586 15.1764679280707 43.5627804024789
bea lake mh marine allo D 10175.0939342133 5602 15.1764679280707 23.2791620087163
bea lake mh white allo D 10175.0939342133 5602 15.1764679280707 23.2791620087163
bea lake misty lake allo S 1992.54863099333 1865 15.1764679280707 30.0015494521578
bea lake misty stream allo D 1992.54863099333 1864 15.1764679280707 30.2022449210771
bea lake mud lake allo S 14.1484490200197 43 15.1764679280707 19.2616901263323
bea lake rab marine allo D 14.1484490200197 45 15.1764679280707 24.1135004108647
bea lake res marine allo D 337.843524687252 166 15.1764679280707 5.94376668715504
bea lake roberts lake allo S 2668.23952226974 1967 15.1764679280707 10.2596107335627
bea lake roberts stream allo D 2668.23952226974 1966 15.1764679280707 12.0492075753957
bea lake sk marine allo D 10071.9465725602 5581 15.1764679280707 35.9627143348956
bea lake sr marine allo D 10175.0939342133 5618 15.1764679280707 12.6560282118309
bea lake sr white allo D 10175.0939342133 5618 15.1764679280707 12.6560282118309
boot lake al marine allo D 12285.5388605747 4613 7.46028713650605 19.5545455227529
boot lake boot stream para D NA 1 7.46028713650605 8.65079081347112
boot lake cl marine allo D 12593.8399867671 4544 7.46028713650605 1.3313493302831
boot lake cl white allo D 12593.8399867671 4544 7.46028713650605 1.3313493302831
boot lake constance lake allo S 20648.0939019238 8347 5.67597216838165 309.669173746895
boot lake constance stream allo D 20648.0939019238 8344 5.67597216838165 312.874383317611
boot lake cp marine allo D 12285.5388605747 4617 7.46028713650605 10.799793169396
boot lake geneva lake allo S 18751.883066828 8339 5.67597216838165 276.805569090188
boot lake geneva stream allo D 18751.883066828 8357 5.67597216838165 257.985717905614
boot lake joes lake allo S 874.352465348988 145 7.46028713650605 32.9738197627999
boot lake joes stream allo D 874.352465348988 147 7.46028713650605 34.6727935777415
boot lake ln marine allo D 12221.4928414026 4659 7.46028713650605 43.5627804024789
boot lake mh marine allo D 12339.430829999 4646 7.46028713650605 23.2791620087163
boot lake mh white allo D 12339.430829999 4646 7.46028713650605 23.2791620087163
boot lake misty lake allo S 883.685225255588 136 7.46028713650605 30.0015494521578
boot lake misty stream allo D 883.685225255588 137 7.46028713650605 30.2022449210771
boot lake roberts lake allo S NA 12 7.46028713650605 10.2596107335627
boot lake roberts stream allo D NA 13 7.46028713650605 12.0492075753957
boot lake sk marine allo D 12236.2834683458 4651 7.46028713650605 35.9627143348956
boot lake sr marine allo D 12339.430829999 4661 7.46028713650605 12.6560282118309
boot lake sr white allo D 12339.430829999 4661 7.46028713650605 12.6560282118309
boot stream al marine allo D 12285.5388605747 4614 8.65079081347112 19.5545455227529
boot stream cl marine allo D 12593.8399867671 4546 8.65079081347112 1.3313493302831
boot stream cl white allo D 12593.8399867671 4546 8.65079081347112 1.3313493302831
boot stream constance lake allo D 20648.0939019238 8348 6.91833221364208 309.669173746895
boot stream constance stream allo S 20648.0939019238 8346 6.91833221364208 312.874383317611
boot stream cp marine allo D 12285.5388605747 4619 8.65079081347112 10.799793169396
boot stream geneva lake allo D 18751.883066828 8341 6.91833221364208 276.805569090188
boot stream geneva stream allo S 18751.883066828 8359 6.91833221364208 257.985717905614
boot stream joes lake allo D 874.352465348988 145 8.65079081347112 32.9738197627999
