pop.code	long.name	ecotype	region
al_marine	antigonish	marine	ns
bea_lake	bear_paw_lake	lake	al
boot_lake	boot	lake	bc
boot_stream	boot	stream	bc
cl_marine	lunenburg	marine	ns
cl_white	lunenburg	white	ns
constance_lake	constance	lake	sl
constance_stream	constance	stream	sl
cp_marine	antigonish	marine	ns
cr_stream	crooked_river	stream	or
cs_marine	oregon_coast_mid	marine	or
denmark_marine	denmark	marine	ne
geneva_lake	geneva	lake	sl
geneva_stream	geneva	stream	sl
hadsten_lake	hadsten	lake	ne
japan_marine	japan_pacific	marine	jp
japan_japansea	japan_sea	japansea	jp
joes_lake	joes	lake	bc
joes_stream	joes	stream	bc
hald_lake	lake_hald	lake	ne
litcampbell_marine	lit_campbell	marine	bc
ln_marine	brasdor	marine	ns
lq_benthic	little_quarry	benthic	bc
lq_limnetic	little_quarry	limnetic	bc
mariager_marine	mariager	marine	ne
mh_marine	chedabucto	marine	ns
mh_white	chedabucto	white	ns
misty_lake	misty	lake	bc
misty_stream	misty	stream	bc
ms_marine	oregon_coast_north	marine	or
mud_lake	mud_lake	lake	al
pax_benthic	paxton	benthic	bc
pax_limnetic	paxton	limnetic	bc
pcr_lake	pony_creek	lake	or
pl_lake	paulina_lake	lake	or
pri_benthic	priest	benthic	bc
pri_limnetic	priest	limnetic	bc
rab_marine	rabbit_slough	marine	al
rb_stream	riverbend	stream	or
res_marine	resurrection_bay	marine	al
roberts_lake	roberts	lake	bc
roberts_stream	roberts	stream	bc
sj_marine	oregon_coast_mid	marine	or
sk_marine	brasdor	marine	ns
sr_marine	chedabucto	marine	ns
sr_white	chedabucto	white	ns
stl_lake	south_twin_lake	lake	or
wc_stream	winchester	stream	or
