Study,Latitude,Longitude,Region,Population,Ecotype,Data Source,Accession No.,Technology,n
hohenlohe,61.613799,-149.7565,Alaska,Bear Paw Lake,lake,SRA,SRP001747,RAD,28
hohenlohe,61.563,-148.949,Alaska,Mud Lake,lake,SRA,SRP001747,RAD,19
hohenlohe,61.32987,-149.151378,Alaska,Rabbit Slough,marine,SRA,SRP001747,RAD,16
hohenlohe,60.1269,-149.4065,Alaska,Resurrection Bay,marine,SRA,SRP001747,RAD,20
ferchaud,56.662588,9.968612,Denmark,Mariager,marine,SRA,SRX437379,RAD,20
ferchaud,56.382883,9.35422,Denmark,Hald Lake,lake,SRA,SRX437379,RAD,20
feulner,56.36919,8.18194,Denmark,Atlanic Ocean,marine,ENA,PRJEB2954,WGS,6
ferchaud,56.3298,10.0476,Denmark,Hadsten Lake,lake,SRA,SRX437379,RAD,20
roesti,50.37322,-127.29068,BC,Joes Lake,lake,SRA,SRP007695,RAD,27
roesti,50.36591,-127.17041,BC,Misty Lake,stream,SRA,SRP007695,RAD,27
roesti,50.36462,-127.32228,BC,Joes Lake,stream,SRA,SRP007695,RAD,26
roesti,50.36349,-127.15554,BC,Misty Lake,lake,SRA,SRP007695,RAD,27
roesti,50.14308,-125.35201,BC,Roberts Lake,stream,SRA,SRP007695,RAD,27
roesti,50.13375,-125.33131,BC,Roberts Lake,lake,SRA,SRP007695,RAD,27
roesti,50.03002,-125.32274,BC,Boot Lake,lake,SRA,SRP007695,RAD,26
roesti,50.02171,-125.33591,BC,Boot Lake,stream,SRA,SRP007695,RAD,27
rennison,49.745477,-124.566159,BC,Priest Lake,limnetic,UBC,NA,GBS,20
rennison,49.745477,-124.566159,BC,Priest Lake,benthic,UBC,NA,GBS,20
rennison,49.708931,-124.525205,BC,Paxton Lake,limnetic,UBC,NA,GBS,20
rennison,49.708931,-124.525205,BC,Paxton Lake,benthic,UBC,NA,GBS,20
rennison,49.662625,-124.10899,BC,Little Quarry Lake,benthic,UBC,NA,GBS,20
rennison,49.662625,-124.10899,BC,Little Quarry Lake,limnetic,UBC,NA,GBS,10
jones,49.013,-122.778,BC,Little Campbell River,marine,SRA,PRJNA247503,WGS,5
roesti,47.332925,9.164238,Switzerland,Lake Constance,stream,SRA,SRP007695,RAD,27
roesti,47.33225,9.224825,Switzerland,Lake Constance,lake,SRA,SRP007695,RAD,27
roesti,46.31289,6.34417,Switzerland,Lake Geneva,lake,SRA,SRP007695,RAD,27
roesti,46.205218,6.543743,Switzerland,Lake Geneva,stream,SRA,SRP007695,RAD,27
samuk,45.99215909,-60.98498462,Nova Scotia,Little Narrows ,marine,UBC,NA,GBS,25
samuk,45.97041687,-61.11930231,Nova Scotia,Skye River ,marine,UBC,NA,GBS,15
samuk,45.67188511,-61.86122859,Nova Scotia,Captain's Pond ,marine,UBC,NA,GBS,30
samuk,45.63196699,-61.9600023,Nova Scotia,Antigonish Landing ,marine,UBC,NA,GBS,16
samuk,45.45772194,-61.61208761,Nova Scotia,Milford Haven Collection ,marine,UBC,NA,GBS,9
samuk,45.45772194,-61.61208761,Nova Scotia,Milford Haven Collection ,white,UBC,NA,GBS,7
samuk,45.35265732,-61.47283403,Nova Scotia,Salmon River Estuary ,marine,UBC,NA,GBS,14
samuk,45.35265732,-61.47283403,Nova Scotia,Salmon River Estuary ,white,UBC,NA,GBS,17
catchen,44.531468,-123.59262,Oregon,millport_slough,marine,SRA,SRA070979,RAD,68
samuk,44.49852425,-63.90343601,Nova Scotia,Canal Lake ,marine,UBC,NA,GBS,12
samuk,44.49852425,-63.90343601,Nova Scotia,Canal Lake ,white,UBC,NA,GBS,15
catchen,44.172317,-120.504409,Oregon,Crooked River,stream,SRA,SRA070979,RAD,24
catchen,44.042805,-123.011811,Oregon,Riverbend,stream,SRA,SRA070979,RAD,140
catchen,44.0003,-123.563084,Oregon,South Jetty,marine,SRA,SRA070979,RAD,96
catchen,43.59224,-124.24294,Oregon,Cushman Slough,marine,SRA,SRA070979,RAD,98
catchen,43.430293,-124.075842,Oregon,South Twin Lake,lake,SRA,SRA070979,RAD,50
catchen,43.42736,-121.152715,Oregon,Paulina Lake,lake,SRA,SRA070979,RAD,22
catchen,43.424293,-121.152565,Oregon,Pony Creek Reservoir,lake,SRA,SRA070979,RAD,68
catchen,43.144737,-124.190268,Oregon,Winchester Creek,stream,SRA,SRA070979,RAD,22
Yoshida,43.05375,144.89443,Japan,Japan,marine,DRA,DRA001136,WGS,8
Yoshida,43.05375,144.89443,Japan,Japan,marine,DRA,DRA001136,WGS,8
