chr pos1 pos2 chr1_old pos1_old chr2_old pos2_old recomb_rate
1 135021 405062 1 405062 1 135021 1.5331005291789e-06
1 807195 1060705 1 667837 1 921347 3.64285432527316e-06
1 1060705 1312272 1 921347 1 1172914 1.0080813461225e-05
1 1312272 1559895 1 1172914 1 1420537 6.15855554613263e-06
1 2270340 2758012 1 1789185 1 2276857 1.428214045506e-05
1 2758012 3245684 1 2276857 1 2764529 1.51074902803524e-05
1 3245684 3733356 1 2764529 1 3252201 8.4083154251218e-06
1 3733356 4221028 1 3252201 1 3739873 6.85911842385866e-06
1 4221028 4708700 1 3739873 1 4227545 7.40456700405191e-06
1 4708700 5196372 1 4227545 1 4715217 2.96920881248052e-06
1 5196372 5684044 1 4715217 1 5202889 2.41658327728473e-06
1 5684044 6171716 1 5202889 1 5690561 3.002017749635e-06
1 6171716 6666300 1 5690561 1 6185145 1.95821134529221e-06
1 6666300 7165796 1 6185145 1 6684641 1.03404231465316e-06
1 7165796 7665292 1 6684641 1 7184137 1.46247417396736e-06
1 7665292 8164788 1 7184137 1 7683633 1.09810689174688e-06
1 8164788 8664284 1 7683633 1 8183129 1.4214328042667e-06
1 8664284 9163780 1 8183129 1 8682625 1.20921889264378e-06
1 9163780 9663276 1 8682625 1 9182121 3.47350128929956e-07
1 9663276 10162772 1 9182121 1 9681617 3.21323894485639e-07
1 10162772 10662268 1 9681617 1 10181113 1.18119064016531e-07
1 10662268 11161764 1 10181113 1 10680609 1.70071432003459e-06
1 11161764 11661260 1 10680609 1 11180105 1.2913016320451e-06
1 11661260 12160756 1 11180105 1 11679601 3.54857696558131e-06
1 12160756 12660253 1 11679601 1 12179098 2.23224563911294e-07
1 12660253 13159750 1 12179098 1 12678595 2.96298075864319e-07
1 13159750 13659247 1 12678595 1 13178092 1.05005635669483e-06
1 13659247 14158744 1 13178092 1 13677589 1.91692843000059e-06
1 14158744 14658241 1 13677589 1 14177086 2.43845308380231e-06
1 14658241 15157738 1 14177086 1 14676583 9.22928466036844e-07
1 15157738 15657235 1 14676583 1 15176080 3.02304117942657e-07
1 15657235 16156732 1 15176080 1 15675577 1.61162129101876e-06
1 16156732 16656229 1 15675577 1 16175074 1.18819532449645e-06
1 16656229 17155726 1 16175074 1 16674571 3.05307138981817e-06
1 17155726 17655223 1 16674571 1 17174068 2.35937352977094e-06
1 17655223 18154720 1 17174068 1 17673565 5.06509548605898e-07
1 18154720 18654217 1 17673565 1 18173062 2.36838259288845e-06
1 18654217 19153714 1 18173062 1 18672559 1.26327085047559e-06
1 19153714 19653211 1 18672559 1 19172056 1.65666660660625e-06
1 19653211 20152708 1 19172056 1 19671553 6.60664628616413e-08
1 20940215 21431411 1 27044631 1 26553435 1.48820430133797e-06
1 21431411 21922607 1 26553435 1 26062239 2.4939128168796e-06
1 21922607 22413802 1 26062239 1 25571044 3.54848888934129e-06
1 22413802 22904997 1 25571044 1 25079849 1.17265037306976e-06
1 22904997 23396192 1 25079849 1 24588654 4.63359765469925e-06
1 23396192 23887387 1 24588654 1 24097459 4.92676024796678e-07
1 23887387 24378582 1 24097459 1 23606264 3.58513421349972e-06
1 24378582 24869777 1 23606264 1 23115069 1.4688667433504e-06
1 24869777 25360972 1 23115069 1 22623874 2.18955811846619e-06
1 25360972 25852167 1 22623874 1 22132679 6.68064617921599e-06
1 25852167 26343362 1 22132679 1 21641484 7.91946172090527e-07
1 26343362 26834557 1 21641484 1 21150289 3.76937875996295e-06
1 26834557 27325752 1 21150289 1 20659094 6.38544773460642e-06
1 27325752 27816947 1 20659094 1 20167899 1.18374576288439e-05
1 28896749 29196315 1 28036132 1 27736566 2.87248886722791e-06
2 653979 1136783 2 724206 2 241402 1.5668884267736e-06
2 1136783 1628129 2 241402 2 1215552 1.11530367602463e-06
2 1628129 2126018 2 1215552 2 1713441 1.95726356677894e-06
2 2126018 2623907 2 1713441 2 2211330 3.02778330109723e-06
2 2623907 3121796 2 2211330 2 2709219 5.913968776173e-06
2 3121796 3619685 2 2709219 2 3207108 1.0791561974657e-05
2 3619685 4117574 2 3207108 2 3704997 7.08892946018088e-06
2 4117574 4615463 2 3704997 2 4202886 7.31689191767643e-06
2 4615463 5113352 2 4202886 2 4700775 2.95949498783865e-06
2 5113352 5611241 2 4700775 2 5198664 3.29189839502379e-06
2 5611241 6109130 2 5198664 2 5696553 2.40716304236486e-06
2 6109130 6607019 2 5696553 2 6194442 3.42546230183836e-06
2 6607019 7104908 2 6194442 2 6692331 2.29870513307183e-06
2 7104908 7602797 2 6692331 2 7190220 9.49006706314062e-07
2 7602797 8100686 2 7190220 2 7688109 9.53023665917509e-07
2 8100686 8598575 2 7688109 2 8185998 1.91106853133932e-06
2 8598575 9096464 2 8185998 2 8683887 7.60209604952106e-07
2 9096464 9594353 2 8683887 2 9181776 4.740012332066e-07
2 9594353 10092242 2 9181776 2 9679665 1.24124051746474e-06
2 10092242 10590131 2 9679665 2 10177554 4.7701395290918e-07
2 10590131 11088020 2 10177554 2 10675443 4.27806197766974e-07
2 11088020 11585909 2 10675443 2 11173332 1.01126958016746e-06
2 11585909 12083798 2 11173332 2 11671221 6.33675377443571e-07
2 12083798 12581688 2 11671221 2 12169111 3.39432404748034e-07
2 12581688 13079578 2 12169111 2 12667001 5.63377452851028e-07
2 13079578 13577468 2 12667001 2 13164891 6.86898712567034e-07
2 13577468 14075358 2 13164891 2 13662781 1.4260177950953e-07
2 14075358 14573248 2 13662781 2 14160671 4.29813814296331e-07
2 14573248 15071138 2 14160671 2 14658561 3.92657012593145e-07
2 15071138 15569028 2 14658561 2 15156451 3.30394263793208e-07
2 15569028 16066918 2 15156451 2 15654341 4.57932475044692e-07
2 16066918 16564808 2 15654341 2 16152231 9.1084376067002e-07
2 16564808 17062698 2 16152231 2 16650121 1.84578923055294e-06
2 17062698 17560588 2 16650121 2 17148011 1.59874671112093e-06
2 17560588 18058478 2 17148011 2 17645901 4.13344313000863e-06
2 18058478 18556368 2 17645901 2 18143791 2.40314125610075e-06
2 18556368 19054258 2 18143791 2 18641681 7.56894093072767e-06
2 19054258 19552148 2 18641681 2 19139571 6.48335977826428e-06
2 19552148 20050038 2 19139571 2 19637461 9.86462873325433e-06
2 20050038 20547928 2 19637461 2 20135351 1.11801803611239e-05
2 20547928 21045818 2 20135351 2 20633241 1.81415573721103e-05
2 21045818 21543708 2 20633241 2 21131131 1.99702745586375e-05
2 21543708 22041598 2 21131131 2 21629021 1.22768081303099e-05
2 22041598 22539488 2 21629021 2 22126911 7.67539014641788e-06
2 22539488 22906050 2 22126911 2 22945802 5.48201941281419e-06
2 22906050 23139283 2 22945802 2 23179035 4.95212941564873e-06
2 23139283 23369733 2 23179035 2 22715353 9.35126925580381e-07
2 23369733 23595397 2 22715353 2 22489689 1.60415484968804e-06
3 233471 700414 3 233471 3 700414 4.51125726266375e-06
3 700414 1167357 3 700414 3 1167357 1.17765980001842e-05
3 1167357 1634300 3 1167357 3 1634300 9.34375287776024e-06
3 1634300 2101243 3 1634300 3 2101243 7.11650030089326e-06
3 2101243 2568186 3 2101243 3 2568186 3.19632160670574e-06
3 2568186 3035129 3 2568186 3 3035129 1.99274857959108e-06
3 3035129 3515678 3 3035129 3 3515678 5.16076404279271e-07
3 3515678 4007833 3 3515678 3 4007833 1.7270981702919e-07
3 4007833 4499988 3 4007833 3 4499988 2.31532748829129e-06
3 4499988 4992143 3 4499988 3 4992143 1.72709817029188e-06
3 4992143 5484298 3 4992143 3 5484298 5.59782995194603e-07
3 5484298 5976453 3 5484298 3 5976453 5.12033810486531e-07
3 5976453 6468608 3 5976453 3 6468608 1.15410795379505e-06
3 6468608 6960764 3 6468608 3 6960764 1.44974357723974e-06
3 6960764 7452920 3 6960764 3 7452920 1.42028137419843e-06
3 7452920 7945076 3 7452920 3 7945076 2.7917977226733e-06
3 7945076 8437232 3 7945076 3 8437232 1.75655686408374e-06
3 8437232 8929388 3 8437232 3 8929388 1.52898674404051e-06
3 8929388 9421544 3 8929388 3 9421544 1.47107827599379e-06
3 9421544 9913700 3 9421544 3 9913700 1.20185469647835e-06
3 9913700 10405856 3 9913700 3 10405856 1.34611789757719e-06
3 10405856 10898012 3 10405856 3 10898012 5.93307812969875e-07
3 10898012 11390168 3 10898012 3 11390168 2.05930639878412e-06
3 11390168 11882324 3 11390168 3 11882324 1.97701541787563e-06
3 11882324 12374480 3 11882324 3 12374480 3.32618112956055e-06
3 12374480 12866636 3 12374480 3 12866636 2.85478588089955e-06
3 12866636 13358792 3 12866636 3 13358792 2.76131958159608e-06
3 13358792 13850948 3 13358792 3 13850948 5.72582677037362e-06
3 13850948 14257756 3 13850948 3 14257756 5.60829678865706e-06
3 14257756 14577217 3 14257756 3 14577217 4.68758314786468e-06
3 15027433 15295866 3 14872163 3 15140596 1.28709957419542e-05
3 16145695 16526368 3 15846822 3 16227495 1.25488279967321e-05
3 16526368 16907042 3 16227495 3 16608169 2.27727661988998e-05
4 178146 534438 4 178146 4 534438 6.16488722733039e-06
4 534438 890730 4 534438 4 890730 2.87685381653251e-06
4 890730 1095741 4 890730 4 1095741 9.02878382135593e-06
4 1419998 1911326 4 1419998 4 1911326 9.84372964699753e-06
4 1911326 2402654 4 1911326 4 2402654 1.13620636316269e-05
4 2402654 2893982 4 2402654 4 2893982 1.20489774651557e-05
4 2893982 3385310 4 2893982 4 3385310 1.30371157353133e-05
4 3385310 3876638 4 3385310 4 3876638 1.33922756285007e-05
4 3876638 4367966 4 3876638 4 4367966 5.90745896834702e-06
4 4367966 4859294 4 4367966 4 4859294 4.68729646997525e-06
4 4859294 5350622 4 4859294 4 5350622 2.28564217793409e-06
4 5350622 5841950 4 5350622 4 5841950 5.47495766575486e-06
4 5841950 6333278 4 5841950 4 6333278 5.82095870782858e-06
4 6333278 6824606 4 6333278 4 6824606 1.64961085059267e-06
4 6824606 7315934 4 6824606 4 7315934 1.46846912856585e-06
4 7315934 7807262 4 7315934 4 7807262 6.96072684642436e-07
4 7807262 8298591 4 7807262 4 8298591 5.94306462675726e-07
