chromosome_BroadS1	pos1	pos2	gen1	gen2	rate
1	241608	612298	0	0.0000001	2.69767E-07
1	612298	715797	0.0000001	0.0000002	9.66193E-07
1	715797	956634	0.0000002	0.711856	2.955757629
1	956634	983330	0.711856	0.7118561	3.74588E-06
1	983330	1190613	0.7118561	1.665939	4.602803414
1	1190613	1236417	1.665939	1.6659391	2.18322E-06
1	1236417	1330208	1.6659391	2.1626602	5.296042264
1	1330208	1391915	2.1626602	3.4076482	20.17579853
1	1391915	1464000	3.4076482	3.6214473	2.965930499
1	1464000	1911436	3.6214473	12.4296183	19.6858791
1	1911436	1913462	12.4296183	12.9301635	247.0608095
1	1913462	2092038	12.9301635	14.5022937	8.803703745
1	2092038	2169783	14.5022937	16.1879503	21.68186507
1	2169783	2354812	16.1879503	18.4431972	12.18861314
1	2354812	2363639	18.4431972	18.4431973	1.13289E-05
1	2363639	2544241	18.4431973	21.1405559	14.93537502
1	2544241	2551672	21.1405559	21.495669	47.78806352
1	2551672	2575287	21.495669	21.8509028	15.04271861
1	2575287	2589721	21.8509028	21.8509029	6.92809E-06
1	2589721	2659117	21.8509029	23.3412851	21.47648568
1	2659117	2884565	23.3412851	26.1587829	12.49732887
1	2884565	3037319	26.1587829	26.158783	6.54647E-07
1	3037319	3100967	26.158783	26.514014	5.58118087
1	3100967	3152276	26.514014	26.5140141	1.94898E-06
1	3152276	4319658	26.5140141	34.7876065	7.087305098
1	4319658	4335072	34.7876065	35.2134242	27.62538601
1	4335072	6301896	35.2134242	41.6702348	3.282861405
1	6301896	6550219	41.6702348	42.0430142	1.501187566
1	6550219	6596684	42.0430142	42.4066992	7.827074142
1	6596684	7132319	42.4066992	42.5883396	0.339112269
1	7132319	7435267	42.5883396	42.7658132	0.585821989
1	7435267	7469158	42.7658132	42.7658133	2.95064E-06
1	7469158	7604030	42.7658133	42.9432771	1.315794235
1	7604030	7937619	42.9432771	43.2985712	1.065065395
1	7937619	8131876	43.2985712	43.2985713	5.14782E-07
1	8131876	9359659	43.2985713	44.9087195	1.311427345
1	9359659	9598491	44.9087195	44.9087196	4.18704E-07
1	9598491	9945959	44.9087196	45.4421967	1.535327282
1	9945959	10262757	45.4421967	45.7974845	1.121496348
1	10262757	10392172	45.7974845	45.7974846	7.72708E-07
1	10392172	10646861	45.7974846	45.7974847	3.92636E-07
1	10646861	10816847	45.7974847	45.7974848	5.88284E-07
1	10816847	11094415	45.7974848	45.7974849	3.60272E-07
1	11094415	11360199	45.7974849	45.797485	3.76245E-07
1	11360199	11964985	45.797485	45.7974851	1.65348E-07
1	11964985	12220179	45.7974851	45.7974852	3.91859E-07
1	12220179	12222166	45.7974852	45.7974853	5.03271E-05
1	12222166	12389943	45.7974853	45.7974854	5.96029E-07
1	12389943	12865665	45.7974854	45.7974855	2.10207E-07
1	12865665	12991415	45.7974855	45.7974856	7.95229E-07
1	12991415	13370423	45.7974856	46.1527913	0.93746227
1	13370423	13376378	46.1527913	46.1527914	1.67926E-05
1	13376378	13833891	46.1527914	46.3302709	0.38792231
1	13833891	13883327	46.3302709	46.5077503	3.590084149
1	13883327	13949714	46.5077503	46.5077504	1.50632E-06
1	13949714	13971233	46.5077504	46.5077505	4.64706E-06
1	13971233	13973589	46.5077505	46.5077506	4.24448E-05
1	13973589	14210810	46.5077506	46.6852334	0.748174909
1	14210810	14598901	46.6852334	46.6852335	2.57672E-07
1	14598901	14892477	46.6852335	47.0405347	1.210252882
1	14892477	15022178	47.0405347	47.0405348	7.71004E-07
1	15022178	15031340	47.0405348	47.0405349	1.09146E-05
1	15031340	15126713	47.0405349	47.040535	1.04851E-06
1	15126713	15464652	47.040535	47.0405386	1.06528E-05
1	15464652	15819235	47.0405386	47.2180134	0.500516945
1	15819235	16076902	47.2180134	47.3954928	0.688793676
1	16076902	16177434	47.3954928	47.3954929	9.94708E-07
1	16177434	16237382	47.3954929	47.395493	1.66811E-06
1	16237382	16355823	47.395493	47.3954931	8.44302E-07
1	16355823	16370824	47.3954931	47.3954932	6.66622E-06
1	16370824	16388855	47.3954932	47.3954933	5.546E-06
1	16388855	16469279	47.3954933	47.3954934	1.24341E-06
1	16469279	16987460	47.3954934	48.4658319	2.065568788
1	16987460	18081756	48.4658319	48.465832	9.1383E-08
1	18081756	18455325	48.465832	48.8211317	0.951095246
1	18455325	19749589	48.8211317	48.8211318	7.7264E-08
1	27013226	26934623	49.7122731	49.7122732	1.27222E-06
1	26934623	26510322	49.7122732	49.8897594	0.418302573
1	26510322	26127156	49.8897594	49.8897595	2.60983E-07
1	26127156	25662395	49.8897595	50.4232443	1.14786912
1	25662395	25143764	50.4232443	52.5791302	4.156878204
1	25143764	25111558	52.5791302	52.5791303	3.10501E-06
1	25111558	24989686	52.5791303	53.2913415	5.843928056
1	24989686	24979103	53.2913415	53.2913416	9.44912E-06
1	24979103	24898852	53.2913416	54.162251	10.85231835
1	24898852	24593361	54.162251	55.253102	3.570812233
