lg pos fst comparison group fst.outlier gen.pos nnd group2
4 573327 1 cr_stream.wc_stream allo_S TRUE 0.00724248779026706 1.9239474205711e-05 para_S
4 573334 1 cr_stream.wc_stream allo_S TRUE 0.00726172726447277 1.9239474205711e-05 para_S
4 1646124 1 cr_stream.wc_stream allo_S TRUE 5.91188100011268 0.992860689167719 para_S
4 1919154 1 cr_stream.wc_stream allo_S TRUE 6.9047416892804 0.992860689167719 para_S
4 2308371 1 cr_stream.wc_stream allo_S TRUE 10.0173611912771 3.1126195019967 para_S
4 3661240 1 cr_stream.wc_stream allo_S TRUE 24.2710687408744 1.83216460563996 para_S
4 3802763 1 cr_stream.wc_stream allo_S TRUE 26.1032333465143 1.83216460563996 para_S
4 4826748 1 cr_stream.wc_stream allo_S TRUE 34.7133399073109 2.49910871126067 para_S
4 5857004 1 cr_stream.wc_stream allo_S TRUE 37.2124486185716 0.0793836644338768 para_S
4 5872157 1 cr_stream.wc_stream allo_S TRUE 37.2918322830054 0.0793836644338768 para_S
4 5893928 1 cr_stream.wc_stream allo_S TRUE 37.4058863817575 0.114054098752057 para_S
4 5971113 1 cr_stream.wc_stream allo_S TRUE 37.810243811925 5.23880845548774e-06 para_S
4 5971114 1 cr_stream.wc_stream allo_S TRUE 37.8102490507335 5.23880845548774e-06 para_S
4 6404528 1 cr_stream.wc_stream allo_S TRUE 39.0563750995562 0.000172804760147471 para_S
4 6404634 1 cr_stream.wc_stream allo_S TRUE 39.0565479043163 0.000172804760147471 para_S
4 6460390 1 cr_stream.wc_stream allo_S TRUE 39.2144967151454 0.157948810829112 para_S
4 6519191 1 cr_stream.wc_stream allo_S TRUE 39.4112998293078 0.0255303156352014 para_S
4 6630442 1 cr_stream.wc_stream allo_S TRUE 39.436830144943 7.80076678807973e-06 para_S
4 6630473 1 cr_stream.wc_stream allo_S TRUE 39.4368379457098 7.80076678807973e-06 para_S
4 6739224 1 cr_stream.wc_stream allo_S TRUE 39.4642037904986 2.11375616103737e-05 para_S
4 6739308 1 cr_stream.wc_stream allo_S TRUE 39.4642249280602 2.11375616103737e-05 para_S
4 6873806 1 cr_stream.wc_stream allo_S TRUE 39.4980696871189 0.0338447590587592 para_S
4 7064066 1 cr_stream.wc_stream allo_S TRUE 39.5459462641574 0.0108551444354319 para_S
4 7107204 1 cr_stream.wc_stream allo_S TRUE 39.5568014085929 0.0108551444354319 para_S
4 7399520 1 cr_stream.wc_stream allo_S TRUE 39.6289124756971 0.0721110671042595 para_S
4 7552158 1 cr_stream.wc_stream allo_S TRUE 39.8134935100706 0.0926279043943339 para_S
4 7628756 1 cr_stream.wc_stream allo_S TRUE 39.906121414465 0.0926279043943339 para_S
4 7987662 1 cr_stream.wc_stream allo_S TRUE 40.0657109303765 0.15958951591152 para_S
4 8151608 1 cr_stream.wc_stream allo_S TRUE 40.3111309148159 0.0929250543109532 para_S
4 8213684 1 cr_stream.wc_stream allo_S TRUE 40.4040559691269 0.0733134525874632 para_S
4 8400135 1 cr_stream.wc_stream allo_S TRUE 40.4773694217144 6.8519057094818e-10 para_S
4 8404473 1 cr_stream.wc_stream allo_S TRUE 40.4773694223995 6.8519057094818e-10 para_S
4 9256948 1 cr_stream.wc_stream allo_S TRUE 40.5353047320283 3.6503935142207e-05 para_S
4 9257045 1 cr_stream.wc_stream allo_S TRUE 40.5353412359635 3.6503935142207e-05 para_S
4 9625426 1 cr_stream.wc_stream allo_S TRUE 40.6739737733899 0.00538564758527116 para_S
4 9639737 1 cr_stream.wc_stream allo_S TRUE 40.6793594209752 0.000902061160083178 para_S
4 9642134 1 cr_stream.wc_stream allo_S TRUE 40.6802614821353 0.000902061160083178 para_S
4 9763856 1 cr_stream.wc_stream allo_S TRUE 40.7260690284545 0.00119710327501821 para_S
4 9767037 1 cr_stream.wc_stream allo_S TRUE 40.7272661317295 0.00119710327501821 para_S
